"filename", "language", "Python", "pip requirements", "Properties", "HTML", "JavaScript", "XML", "Markdown", "PostCSS", "reStructuredText", "Batch", "PowerShell", "comment", "blank", "total"
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\filters.py", "Python", -275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, -48, -380
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\generics.py", "Python", -136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107, -53, -296
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\management\commands\generateschema.py", "Python", -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -72
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\metadata.py", "Python", -101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -16, -153
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\mixins.py", "Python", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -20, -96
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\negotiation.py", "Python", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -15, -98
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\pagination.py", "Python", -703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -146, -142, -991
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\parsers.py", "Python", -118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -56, -33, -207
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\permissions.py", "Python", -174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -67, -74, -315
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\relations.py", "Python", -369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -117, -100, -586
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\renderers.py", "Python", -768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -154, -164, -1086
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\request.py", "Python", -263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -124, -63, -450
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\response.py", "Python", -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -19, -108
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\reverse.py", "Python", -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -14, -67
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\routers.py", "Python", -236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -96, -59, -391
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\__init__.py", "Python", -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -6, -59
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\coreapi.py", "Python", -405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -126, -96, -627
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\generators.py", "Python", -146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, -47, -240
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\inspectors.py", "Python", -70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -21, -127
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\openapi.py", "Python", -511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -92, -119, -722
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\utils.py", "Python", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -8, -42
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\schemas\views.py", "Python", -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -6, -49
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\serializers.py", "Python", -1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -421, -247, -1710
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\settings.py", "Python", -150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, -43, -259
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\bootstrap-theme.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -5, 0, -6
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\bootstrap-tweaks.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -177, 0, 0, 0, -15, -46, -238
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\bootstrap.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -5, 0, -6
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\default.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -62, 0, 0, 0, -3, -18, -83
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\font-awesome-4.0.3.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -1329, 0, 0, 0, -9, -1, -1339
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\css\prettify.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -1, -2, -30
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\css\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -291, 0, 0, 0, -4, -65, -360
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\css\highlight.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -101, 0, 0, 0, -6, -19, -126
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\css\jquery.json-view.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -11
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\js\api.js", "JavaScript", 0, 0, 0, 0, -259, 0, 0, 0, 0, 0, 0, -20, -37, -316
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\js\highlight.pack.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\docs\js\jquery.json-view.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -6, 0, -7
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, -414, 0, 0, 0, 0, 0, 0, -1, -415
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, -288, 0, 0, 0, 0, 0, 0, -1, -289
"e:\A_Code\testGit\du-an-mau-k23-team\backend\env\Lib\site-packages\rest_framework\static\rest_framework\js\ajax-form.js", "JavaScript", 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, 0, -16, -23, -134
